Neighborhood,Latitude,Longitude
Andheri,19.11848309908247,72.84177419095158
Anushakti Nagar,19.042830000000038,72.92734000000007
Baiganwadi,19.06293000000005,72.92666000000008
Bandra,19.054220000000043,72.84019000000006
Bhandup,19.145560000000046,72.94856000000004
Borivali,19.229360000000042,72.85751000000005
Charkop,19.208660000000066,72.82612000000006
Chembur,19.062200000000075,72.90242000000006
Dahisar,19.250030000000038,72.85908000000006
Devipada,19.224720000000048,72.86606000000006
Dombivli,19.220110000000034,73.09075000000007
Eastern Suburbs (Mumbai),19.00538889189226,72.85576887678867
Ghatkopar,19.086476606699875,72.9089562772808
Goregaon,19.164550000000077,72.84946000000008
Grant Road,18.959290000000067,72.83108000000004
Jogeshwari,19.13790000000006,72.84941000000003
Juhu,19.01493000000005,72.84522000000004
Kalyan,18.953937419095155,72.82036732944775
Kandivali,19.21195211212422,72.83754191243007
Kanjurmarg,19.131400000000042,72.93565000000007
Kausa,19.127560000000074,72.82540000000006
Kurla,19.064940000000036,72.88073000000003
Mahavir Nagar (Kandivali),19.21094000000005,72.84137000000004
Mankhurd,19.048530000000028,72.93220000000008
"Matharpacady, Mumbai",19.044919875382305,72.86720464432454
Mira Road,19.07416134629672,72.8616699302081
Mogra Village,19.09880000000004,72.91706000000005
Mulund,19.171850000000063,72.95564000000007
Mumbra,-3.6833299999999554,-41.31666999999993
Pestom sagar,19.07063000000005,72.90220000000005
Seven Bungalows,19.12856000000005,72.82085000000006
Shil Phata,18.940170000000023,72.83486000000005
"Sion, Mumbai",19.04359000000005,72.86410000000006
Thakur village,19.210200000000043,72.87541000000004
Tilak Nagar (Mumbai),18.99616000000003,72.85281000000003
Vashi,19.084700000000055,72.90484000000004
Vikhroli,19.111090000000047,72.92781000000008
Wadala,19.017160000000047,72.85813000000007
Western Suburbs (Mumbai),19.19700000000006,72.82763000000006
Worli,19.007450000000063,72.81691000000006
